original_text,tokenized_text,avg_politeness_score,politeness_std,all_politeness_scores,binary_politeness_score,doc_len
"doesn't a gaussian distribution by definition also include negative numbers, i.e. no matter how big (positive) your mean is, the left tail will always span to negative infinity?","['does', ""n't"", 'a', 'gaussian', 'distribution', 'by', 'definition', 'also', 'include', 'negative', 'numbers', ',', 'i.e', '.', 'no', 'matter', 'how', 'big', '(', 'positive', ')', 'your', 'mean', 'is', ',', 'the', 'left', 'tail', 'will', 'always', 'span', 'to', 'negative', 'infinity', '?']",11.8,2.4,"[9, 9, 13, 15, 13]",-1,35
"@RPM1984: its just so utterly wrong though! You seem like a smart guy, where did you get the idea from?","['@', 'rpm1984', ':', 'its', 'just', 'so', 'utterly', 'wrong', 'though', '!', 'you', 'seem', 'like', 'a', 'smart', 'guy', ',', 'where', 'did', 'you', 'get', 'the', 'idea', 'from', '?']",8.2,4.445222154178574,"[1, 9, 15, 8, 8]",-1,25
That's that we have a policy against picture gallery links.  But could you tell me where that is?,"['that', ""'s"", 'that', 'we', 'have', 'a', 'policy', 'against', 'picture', 'gallery', 'links', '.', 'but', 'could', 'you', 'tell', 'me', 'where', 'that', 'is', '?']",15.8,2.9257477676655586,"[14, 17, 14, 21, 13]",0,21
This is the first time I've heard of this. What is it?,"['this', 'is', 'the', 'first', 'time', 'i', ""'ve"", 'heard', 'of', 'this', '.', 'what', 'is', 'it', '?']",16.0,1.7888543819998317,"[15, 17, 13, 18, 17]",1,15
"Actually, I think I should route these terms (seismic design, and seismic engineering) to <url>. Does that sound like a better idea?","['actually', ',', 'i', 'think', 'i', 'should', 'route', 'these', 'terms', '(', 'seismic', 'design', ',', 'and', 'seismic', 'engineering', ')', 'to', '<', 'url', '>', '.', 'does', 'that', 'sound', 'like', 'a', 'better', 'idea', '?']",18.8,3.1240998703626617,"[17, 17, 25, 17, 18]",1,30
"I don't understand how do you get from ""display water usage"" to ""linux"". Can you please elaborate a bit more?","['i', 'do', ""n't"", 'understand', 'how', 'do', 'you', 'get', 'from', '``', 'display', 'water', 'usage', ""''"", 'to', '``', 'linux', ""''"", '.', 'can', 'you', 'please', 'elaborate', 'a', 'bit', 'more', '?']",12.8,4.308131845707603,"[13, 15, 13, 18, 5]",0,27
"I uploaded a new version of the Desert Storm map, with Egyptian, Syrian and multinational forces labeled (<url>). How does it look now?","['i', 'uploaded', 'a', 'new', 'version', 'of', 'the', 'desert', 'storm', 'map', ',', 'with', 'egyptian', ',', 'syrian', 'and', 'multinational', 'forces', 'labeled', '(', '<', 'url', '>', ')', '.', 'how', 'does', 'it', 'look', 'now', '?']",15.2,3.655133376499413,"[17, 17, 18, 16, 8]",0,31
"I think I updated the pharmacology project banner to put C-class articles into the appropriate category (previously, it was putting them into the unassessed class. If you want to double-check, that would be great; I think it may take a little while for it to update the articles?","['i', 'think', 'i', 'updated', 'the', 'pharmacology', 'project', 'banner', 'to', 'put', 'c-class', 'articles', 'into', 'the', 'appropriate', 'category', '(', 'previously', ',', 'it', 'was', 'putting', 'them', 'into', 'the', 'unassessed', 'class', '.', 'if', 'you', 'want', 'to', 'double-check', ',', 'that', 'would', 'be', 'great', ';', 'i', 'think', 'it', 'may', 'take', 'a', 'little', 'while', 'for', 'it', 'to', 'update', 'the', 'articles', '?']",18.4,2.154065922853802,"[17, 16, 17, 21, 21]",1,54
I added one. Does it look alright?,"['i', 'added', 'one', '.', 'does', 'it', 'look', 'alright', '?']",15.2,1.8330302779823362,"[17, 17, 13, 16, 13]",0,9
No it doesn't really matter too much for your 50 odd sprites. But what's to lose?,"['no', 'it', 'does', ""n't"", 'really', 'matter', 'too', 'much', 'for', 'your', '50', 'odd', 'sprites', '.', 'but', 'what', ""'s"", 'to', 'lose', '?']",14.6,4.029888335921977,"[13, 15, 10, 22, 13]",0,20
I deliberately didn't mention memory constraints because I wanted to hear several ideas and then make a judgement about speed/memory tradeoff. Can you be more specific about lookup tables in this scenario?,"['i', 'deliberately', 'did', ""n't"", 'mention', 'memory', 'constraints', 'because', 'i', 'wanted', 'to', 'hear', 'several', 'ideas', 'and', 'then', 'make', 'a', 'judgement', 'about', 'speed/memory', 'tradeoff', '.', 'can', 'you', 'be', 'more', 'specific', 'about', 'lookup', 'tables', 'in', 'this', 'scenario', '?']",11.0,1.4142135623730951,"[9, 10, 12, 13, 11]",-1,35
This is irritating. What browser are you using?,"['this', 'is', 'irritating', '.', 'what', 'browser', 'are', 'you', 'using', '?']",7.4,3.4409301068170506,"[7, 13, 5, 3, 9]",-1,10
"You might want to re-architect this; if you are counting the number of files/folders every minute, you are creating a race condition.  What about having each function update a counter, or use a lockfile to ensure that the periodic process doesn't update the count until both functions have finished executing?","['you', 'might', 'want', 'to', 're-architect', 'this', ';', 'if', 'you', 'are', 'counting', 'the', 'number', 'of', 'files/folders', 'every', 'minute', ',', 'you', 'are', 'creating', 'a', 'race', 'condition', '.', 'what', 'about', 'having', 'each', 'function', 'update', 'a', 'counter', ',', 'or', 'use', 'a', 'lockfile', 'to', 'ensure', 'that', 'the', 'periodic', 'process', 'does', ""n't"", 'update', 'the', 'count', 'until', 'both', 'functions', 'have', 'finished', 'executing', '?']",13.4,0.7999999999999999,"[13, 13, 13, 15, 13]",0,56
"Don't you think that ""What do you miss?"" kind of questions are subjective?","['do', ""n't"", 'you', 'think', 'that', '``', 'what', 'do', 'you', 'miss', '?', ""''"", 'kind', 'of', 'questions', 'are', 'subjective', '?']",9.4,6.248199740725324,"[3, 9, 5, 9, 21]",-1,18
"I received a message from the bot you run telling me that one of two duplicate files I uploaded is due for speedy deletion. If possible, could it be made that Bath_badge.png is the one that is deleted, rather than Bath_rugby_badge.png please?","['i', 'received', 'a', 'message', 'from', 'the', 'bot', 'you', 'run', 'telling', 'me', 'that', 'one', 'of', 'two', 'duplicate', 'files', 'i', 'uploaded', 'is', 'due', 'for', 'speedy', 'deletion', '.', 'if', 'possible', ',', 'could', 'it', 'be', 'made', 'that', 'bath_badge.png', 'is', 'the', 'one', 'that', 'is', 'deleted', ',', 'rather', 'than', 'bath_rugby_badge.png', 'please', '?']",20.2,3.059411708155671,"[17, 25, 17, 20, 22]",1,46
"Yeah, I didn't cover the why, but it's a good question. Maybe they need to add some kind of searching ""engine"" or something... but where are they going to get one of those?","['yeah', ',', 'i', 'did', ""n't"", 'cover', 'the', 'why', ',', 'but', 'it', ""'s"", 'a', 'good', 'question', '.', 'maybe', 'they', 'need', 'to', 'add', 'some', 'kind', 'of', 'searching', '``', 'engine', ""''"", 'or', 'something', '...', 'but', 'where', 'are', 'they', 'going', 'to', 'get', 'one', 'of', 'those', '?']",22.2,1.6,"[21, 23, 21, 25, 21]",1,42
"@g0d1anier: I'm just curious, is there a reason you want to use multithreading for this? It seems to me that your program will be completely I/O bound so you're adding a lot of complexity for little benefit?","['@', 'g0d1anier', ':', 'i', ""'m"", 'just', 'curious', ',', 'is', 'there', 'a', 'reason', 'you', 'want', 'to', 'use', 'multithreading', 'for', 'this', '?', 'it', 'seems', 'to', 'me', 'that', 'your', 'program', 'will', 'be', 'completely', 'i/o', 'bound', 'so', 'you', ""'re"", 'adding', 'a', 'lot', 'of', 'complexity', 'for', 'little', 'benefit', '?']",12.6,4.8,"[9, 15, 9, 9, 21]",0,44
"@David: okay, if you are taking your definition this strictly then the answer is much simpler: you cannot enforce the condition $\dot{\phi} = 0$. Why would you think you can do that in *these* coordinates in the first place?","['@', 'david', ':', 'okay', ',', 'if', 'you', 'are', 'taking', 'your', 'definition', 'this', 'strictly', 'then', 'the', 'answer', 'is', 'much', 'simpler', ':', 'you', 'can', 'not', 'enforce', 'the', 'condition', '$', '\\dot', '{', '\\phi', '}', '=', '0', '$', '.', 'why', 'would', 'you', 'think', 'you', 'can', 'do', 'that', 'in', '*', 'these', '*', 'coordinates', 'in', 'the', 'first', 'place', '?']",13.8,5.30659966456864,"[17, 13, 13, 21, 5]",0,53
i cant see that map service. I assume its dynamic and not cached?,"['i', 'cant', 'see', 'that', 'map', 'service', '.', 'i', 'assume', 'its', 'dynamic', 'and', 'not', 'cached', '?']",12.6,2.5768197453450252,"[17, 12, 9, 13, 12]",-1,15
"@BoltClock: I'm pretty sure that algorithms are part of the ""programming"" subject. Strictly speaking an algorithm is not a program, of course, but are we really going to throw out all the questions on searching and sorting methods, on the grounds that ""quicksort is an algorithm, it has absolutely nothing to do with programming""?","['@', 'boltclock', ':', 'i', ""'m"", 'pretty', 'sure', 'that', 'algorithms', 'are', 'part', 'of', 'the', '``', 'programming', ""''"", 'subject', '.', 'strictly', 'speaking', 'an', 'algorithm', 'is', 'not', 'a', 'program', ',', 'of', 'course', ',', 'but', 'are', 'we', 'really', 'going', 'to', 'throw', 'out', 'all', 'the', 'questions', 'on', 'searching', 'and', 'sorting', 'methods', ',', 'on', 'the', 'grounds', 'that', '``', 'quicksort', 'is', 'an', 'algorithm', ',', 'it', 'has', 'absolutely', 'nothing', 'to', 'do', 'with', 'programming', ""''"", '?']",11.0,3.9496835316262997,"[8, 5, 13, 13, 16]",-1,67
no way! can you show us the entire loop?,"['no', 'way', '!', 'can', 'you', 'show', 'us', 'the', 'entire', 'loop', '?']",15.0,2.8284271247461903,"[10, 14, 17, 16, 18]",1,11
This is interesting. Have you tried calling them and asking wherefor art thou WSDL?,"['this', 'is', 'interesting', '.', 'have', 'you', 'tried', 'calling', 'them', 'and', 'asking', 'wherefor', 'art', 'thou', 'wsdl', '?']",13.8,3.059411708155671,"[17, 17, 14, 12, 9]",0,16
"One the the main reasons I ask for a citation is to learn precisely what is meant by ""the consistency of the reals"".  You haven't heard anything about this, Trovatore, have you?","['one', 'the', 'the', 'main', 'reasons', 'i', 'ask', 'for', 'a', 'citation', 'is', 'to', 'learn', 'precisely', 'what', 'is', 'meant', 'by', '``', 'the', 'consistency', 'of', 'the', 'reals', ""''"", '.', 'you', 'have', ""n't"", 'heard', 'anything', 'about', 'this', ',', 'trovatore', ',', 'have', 'you', '?']",11.4,1.9595917942265424,"[13, 9, 9, 13, 13]",0,39
"If you don't agree with this approach, you can ether add the references yourself, or delete the added material and I will go elsewhere and write something else, and you can take over doing the anti-tank warfare article 'properly'. Ok?","['if', 'you', 'do', ""n't"", 'agree', 'with', 'this', 'approach', ',', 'you', 'can', 'ether', 'add', 'the', 'references', 'yourself', ',', 'or', 'delete', 'the', 'added', 'material', 'and', 'i', 'will', 'go', 'elsewhere', 'and', 'write', 'something', 'else', ',', 'and', 'you', 'can', 'take', 'over', 'doing', 'the', 'anti-tank', 'warfare', 'article', ""'properly"", ""'"", '.', 'ok', '?']",5.2,4.4,"[5, 13, 1, 6, 1]",-1,47
"im sorry, what do you mean by ""application""? android calling system is stock.. As I've stated before, I cannot find the ""video call"" option when calling.. are there any workaround?","['im', 'sorry', ',', 'what', 'do', 'you', 'mean', 'by', '``', 'application', ""''"", '?', 'android', 'calling', 'system', 'is', 'stock', '..', 'as', 'i', ""'ve"", 'stated', 'before', ',', 'i', 'can', 'not', 'find', 'the', '``', 'video', 'call', ""''"", 'option', 'when', 'calling', '..', 'are', 'there', 'any', 'workaround', '?']",15.2,3.1240998703626617,"[13, 13, 16, 13, 21]",0,42
convert it to float?  Catch the error and report to the user?,"['convert', 'it', 'to', 'float', '?', 'catch', 'the', 'error', 'and', 'report', 'to', 'the', 'user', '?']",17.2,4.308131845707603,"[21, 21, 11, 20, 13]",0,14
What is container? What is the number you get with `container.getWidth();`?,"['what', 'is', 'container', '?', 'what', 'is', 'the', 'number', 'you', 'get', 'with', '`', 'container.getwidth', '(', ')', ';', '`', '?']",15.6,3.5552777669262356,"[13, 22, 13, 17, 13]",0,18
"If you know the line it crashes on, could you post that line of code? Do you have threads in your program?","['if', 'you', 'know', 'the', 'line', 'it', 'crashes', 'on', ',', 'could', 'you', 'post', 'that', 'line', 'of', 'code', '?', 'do', 'you', 'have', 'threads', 'in', 'your', 'program', '?']",13.8,2.315167380558045,"[16, 17, 11, 12, 13]",0,25
"Since the ""discussion"" was not advertised at the affected pages, it did not involve the ""community"". Do you not see that?","['since', 'the', '``', 'discussion', ""''"", 'was', 'not', 'advertised', 'at', 'the', 'affected', 'pages', ',', 'it', 'did', 'not', 'involve', 'the', '``', 'community', ""''"", '.', 'do', 'you', 'not', 'see', 'that', '?']",6.6,1.9595917942265424,"[5, 9, 5, 5, 9]",-1,28
"Interesting? If a breed name is a proper noun, why not a species name?","['interesting', '?', 'if', 'a', 'breed', 'name', 'is', 'a', 'proper', 'noun', ',', 'why', 'not', 'a', 'species', 'name', '?']",15.6,3.97994974842648,"[9, 17, 14, 17, 21]",0,17
I know and that's why I can send emails to phones. Does anyone know of any APIs that don't use sendmail to send their email?,"['i', 'know', 'and', 'that', ""'s"", 'why', 'i', 'can', 'send', 'emails', 'to', 'phones', '.', 'does', 'anyone', 'know', 'of', 'any', 'apis', 'that', 'do', ""n't"", 'use', 'sendmail', 'to', 'send', 'their', 'email', '?']",15.6,4.029888335921977,"[9, 21, 14, 18, 16]",0,29
I don't know much about checksum algorithms but `&H100` looks weird. You sure you don't want `&HFF`?,"['i', 'do', ""n't"", 'know', 'much', 'about', 'checksum', 'algorithms', 'but', '`', '&', 'h100', '`', 'looks', 'weird', '.', 'you', 'sure', 'you', 'do', ""n't"", 'want', '`', '&', 'hff', '`', '?']",14.2,3.4871191548325386,"[13, 13, 13, 21, 11]",0,27
"""graphical graph""? Or ""graphical models""?","['``', 'graphical', 'graph', ""''"", '?', 'or', '``', 'graphical', 'models', ""''"", '?']",16.4,3.0724582991474434,"[13, 17, 18, 21, 13]",0,11
What is the dynamic range of your camera's sensor (how many bits per pixel)? Can you adjust the pixel format of the raw file?,"['what', 'is', 'the', 'dynamic', 'range', 'of', 'your', 'camera', ""'s"", 'sensor', '(', 'how', 'many', 'bits', 'per', 'pixel', ')', '?', 'can', 'you', 'adjust', 'the', 'pixel', 'format', 'of', 'the', 'raw', 'file', '?']",16.6,4.079215610874228,"[17, 19, 17, 9, 21]",1,29
Can you post your declaration of the `share` property? Does it retain the value assigned?,"['can', 'you', 'post', 'your', 'declaration', 'of', 'the', '`', 'share', '`', 'property', '?', 'does', 'it', 'retain', 'the', 'value', 'assigned', '?']",15.2,1.8330302779823362,"[13, 17, 16, 13, 17]",1,19
can you post a picture of the valve? or a link to a picture of a similar valve?,"['can', 'you', 'post', 'a', 'picture', 'of', 'the', 'valve', '?', 'or', 'a', 'link', 'to', 'a', 'picture', 'of', 'a', 'similar', 'valve', '?']",15.0,4.0,"[9, 15, 13, 17, 21]",0,20
After ''New Jersey'' leaves the mainpage it will be nessicary for us to check all the article linked to USS ''New Jersey'' and ensure that no subtle vandalism crept into them by means of the USS ''New Jersey'' article. Are you willing to help?,"['after', '``', 'new', 'jersey', ""''"", 'leaves', 'the', 'mainpage', 'it', 'will', 'be', 'nessicary', 'for', 'us', 'to', 'check', 'all', 'the', 'article', 'linked', 'to', 'uss', '``', 'new', 'jersey', ""''"", 'and', 'ensure', 'that', 'no', 'subtle', 'vandalism', 'crept', 'into', 'them', 'by', 'means', 'of', 'the', 'uss', '``', 'new', 'jersey', ""''"", 'article', '.', 'are', 'you', 'willing', 'to', 'help', '?']",17.0,1.2649110640673518,"[17, 15, 17, 17, 19]",1,52
Is this homework?  Which of these questions are you having problems with?,"['is', 'this', 'homework', '?', 'which', 'of', 'these', 'questions', 'are', 'you', 'having', 'problems', 'with', '?']",12.2,3.54400902933387,"[6, 13, 11, 16, 15]",0,14
"Could you possibly expand on the difference between fluorescent and reflective clothing? Until now, I would have thought they were more or less the same. Is it simply a matter of the degree of reflectivity?","['could', 'you', 'possibly', 'expand', 'on', 'the', 'difference', 'between', 'fluorescent', 'and', 'reflective', 'clothing', '?', 'until', 'now', ',', 'i', 'would', 'have', 'thought', 'they', 'were', 'more', 'or', 'less', 'the', 'same', '.', 'is', 'it', 'simply', 'a', 'matter', 'of', 'the', 'degree', 'of', 'reflectivity', '?']",16.8,2.5612496949731396,"[17, 17, 21, 13, 16]",1,39
What do you mean by 'documents'? Something that looks like a report or just a spreadsheet full of numbers?,"['what', 'do', 'you', 'mean', 'by', ""'documents"", ""'"", '?', 'something', 'that', 'looks', 'like', 'a', 'report', 'or', 'just', 'a', 'spreadsheet', 'full', 'of', 'numbers', '?']",10.8,3.4871191548325386,"[12, 9, 13, 15, 5]",-1,22
Do you have 18GiB of memory to store the solution? Do you really need all of them?,"['do', 'you', 'have', '18gib', 'of', 'memory', 'to', 'store', 'the', 'solution', '?', 'do', 'you', 'really', 'need', 'all', 'of', 'them', '?']",9.4,4.8,"[1, 13, 9, 9, 15]",-1,19
O(n) is trivial. Is it possible to do this faster?,"['o', '(', 'n', ')', 'is', 'trivial', '.', 'is', 'it', 'possible', 'to', 'do', 'this', 'faster', '?']",12.2,1.32664991614216,"[12, 13, 12, 10, 14]",-1,15
@noldorin - then the physicists in question really should start reading up on it or be prepared to get left behind ! What standards are we expecting from physicists - that they strive to be the very best in what they do or that they be satisfied with mediocrity?,"['@', 'noldorin', '-', 'then', 'the', 'physicists', 'in', 'question', 'really', 'should', 'start', 'reading', 'up', 'on', 'it', 'or', 'be', 'prepared', 'to', 'get', 'left', 'behind', '!', 'what', 'standards', 'are', 'we', 'expecting', 'from', 'physicists', '-', 'that', 'they', 'strive', 'to', 'be', 'the', 'very', 'best', 'in', 'what', 'they', 'do', 'or', 'that', 'they', 'be', 'satisfied', 'with', 'mediocrity', '?']",16.6,3.261901286060018,"[13, 21, 20, 15, 14]",1,51
"Yes, ''kaen chokugeki hou'' is exactly right.  Do you have that same NTSC Hong Kong DVD that I do?","['yes', ',', '``', 'kaen', 'chokugeki', 'hou', ""''"", 'is', 'exactly', 'right', '.', 'do', 'you', 'have', 'that', 'same', 'ntsc', 'hong', 'kong', 'dvd', 'that', 'i', 'do', '?']",15.8,1.9390719429665317,"[18, 17, 17, 14, 13]",0,24
I'm surprised no one has seen my sneaky joke category addition. Can I put <url> in there as well?,"['i', ""'m"", 'surprised', 'no', 'one', 'has', 'seen', 'my', 'sneaky', 'joke', 'category', 'addition', '.', 'can', 'i', 'put', '<', 'url', '>', 'in', 'there', 'as', 'well', '?']",16.0,3.687817782917155,"[20, 13, 13, 13, 21]",0,24
any more information? i.e. is range of integers given?,"['any', 'more', 'information', '?', 'i.e', '.', 'is', 'range', 'of', 'integers', 'given', '?']",15.2,3.370459909270543,"[13, 21, 12, 17, 13]",0,12
"Yes, a `<table>` is the right choice here. Have you tried writing any code yet?","['yes', ',', 'a', '`', '<', 'table', '>', '`', 'is', 'the', 'right', 'choice', 'here', '.', 'have', 'you', 'tried', 'writing', 'any', 'code', 'yet', '?']",11.8,0.9797958971132713,"[11, 11, 13, 13, 11]",-1,22
Thanks very much for your edit to the <url> article. Would you be interested in tackling the <url> of <url>?,"['thanks', 'very', 'much', 'for', 'your', 'edit', 'to', 'the', '<', 'url', '>', 'article', '.', 'would', 'you', 'be', 'interested', 'in', 'tackling', 'the', '<', 'url', '>', 'of', '<', 'url', '>', '?']",21.8,3.1874754901018454,"[23, 16, 24, 21, 25]",1,28
Why did using VirtualBox not work? Did you set up the networking correctly (adding a host-only adapter to the VM)?,"['why', 'did', 'using', 'virtualbox', 'not', 'work', '?', 'did', 'you', 'set', 'up', 'the', 'networking', 'correctly', '(', 'adding', 'a', 'host-only', 'adapter', 'to', 'the', 'vm', ')', '?']",8.8,5.30659966456864,"[17, 6, 9, 11, 1]",-1,24
"<url> and I was wondering if you have worked on that project at all recently, or whether you know of any other open-source projects that implement your idea. Also, do you have any Wikibooks that you've written?","['<', 'url', '>', 'and', 'i', 'was', 'wondering', 'if', 'you', 'have', 'worked', 'on', 'that', 'project', 'at', 'all', 'recently', ',', 'or', 'whether', 'you', 'know', 'of', 'any', 'other', 'open-source', 'projects', 'that', 'implement', 'your', 'idea', '.', 'also', ',', 'do', 'you', 'have', 'any', 'wikibooks', 'that', 'you', ""'ve"", 'written', '?']",16.6,2.65329983228432,"[17, 17, 13, 21, 15]",0,44
"PS, I would seriously like an answer to my question above. What is your native language and where do you come from?","['ps', ',', 'i', 'would', 'seriously', 'like', 'an', 'answer', 'to', 'my', 'question', 'above', '.', 'what', 'is', 'your', 'native', 'language', 'and', 'where', 'do', 'you', 'come', 'from', '?']",8.0,4.732863826479693,"[10, 15, 1, 5, 9]",-1,25
"For some reason, <url> states to notify people on the talk page. I think the idea is to avoid self-references for the reader, but then the clean-up tags already alert the reader to other things, so this seems OK. Do you want to ask about using this at <url>?","['for', 'some', 'reason', ',', '<', 'url', '>', 'states', 'to', 'notify', 'people', 'on', 'the', 'talk', 'page', '.', 'i', 'think', 'the', 'idea', 'is', 'to', 'avoid', 'self-references', 'for', 'the', 'reader', ',', 'but', 'then', 'the', 'clean-up', 'tags', 'already', 'alert', 'the', 'reader', 'to', 'other', 'things', ',', 'so', 'this', 'seems', 'ok.', 'do', 'you', 'want', 'to', 'ask', 'about', 'using', 'this', 'at', '<', 'url', '>', '?']",14.6,2.727636339397171,"[17, 10, 16, 17, 13]",0,58
"Well, lyrics are generally frowned upon on Wikipedia, unless the song is old enough that its copyright no longer applies. Could you perhaps link to the article?","['well', ',', 'lyrics', 'are', 'generally', 'frowned', 'upon', 'on', 'wikipedia', ',', 'unless', 'the', 'song', 'is', 'old', 'enough', 'that', 'its', 'copyright', 'no', 'longer', 'applies', '.', 'could', 'you', 'perhaps', 'link', 'to', 'the', 'article', '?']",19.2,2.3151673805580453,"[22, 21, 17, 20, 16]",1,31
"Also, the last time you asked this, 100 worked but 190 didn't work. Why the change?","['also', ',', 'the', 'last', 'time', 'you', 'asked', 'this', ',', '100', 'worked', 'but', '190', 'did', ""n't"", 'work', '.', 'why', 'the', 'change', '?']",11.4,3.7202150475476548,"[13, 8, 6, 15, 15]",-1,21
"Jonas, as a matter of interest, what is your native language?. Do 'is' and 'are' not have straightforward equivalents in your own language?","['jonas', ',', 'as', 'a', 'matter', 'of', 'interest', ',', 'what', 'is', 'your', 'native', 'language', '?', '.', 'do', ""'is"", ""'"", 'and', ""'are"", ""'"", 'not', 'have', 'straightforward', 'equivalents', 'in', 'your', 'own', 'language', '?']",14.8,2.85657137141714,"[13, 17, 17, 10, 17]",0,30
Thanks for reverting that obnoxious vandalism on my talk page.  How do I bring in an administrator to deal with the vandal?,"['thanks', 'for', 'reverting', 'that', 'obnoxious', 'vandalism', 'on', 'my', 'talk', 'page', '.', 'how', 'do', 'i', 'bring', 'in', 'an', 'administrator', 'to', 'deal', 'with', 'the', 'vandal', '?']",11.6,7.2,"[5, 17, 19, 16, 1]",-1,24
"Okay, I thought it was a mistake, but I wasn't sure.  Do you normally eat dinner after 8 PM?","['okay', ',', 'i', 'thought', 'it', 'was', 'a', 'mistake', ',', 'but', 'i', 'was', ""n't"", 'sure', '.', 'do', 'you', 'normally', 'eat', 'dinner', 'after', '8', 'pm', '?']",13.4,5.535341001239218,"[21, 17, 10, 14, 5]",0,24
"Sovereignty is something a thing, in this case Japan, possesses, hence the apostrophe. So what's the problem?","['sovereignty', 'is', 'something', 'a', 'thing', ',', 'in', 'this', 'case', 'japan', ',', 'possesses', ',', 'hence', 'the', 'apostrophe', '.', 'so', 'what', ""'s"", 'the', 'problem', '?']",8.4,1.2,"[9, 9, 9, 6, 9]",-1,23
Target platform is OS X. @Bavarious What alternatives?,"['target', 'platform', 'is', 'os', 'x', '.', '@', 'bavarious', 'what', 'alternatives', '?']",12.4,4.17612260356422,"[5, 13, 18, 13, 13]",-1,11
Hello. Do you know if/how coat of arms from councils abolished in 2009 can be licensed?,"['hello', '.', 'do', 'you', 'know', 'if/how', 'coat', 'of', 'arms', 'from', 'councils', 'abolished', 'in', '2009', 'can', 'be', 'licensed', '?']",16.8,2.5612496949731396,"[17, 13, 17, 16, 21]",0,18
"@Kdoto- I think it is, since I think I came up with one possible implementation. :-)  Can you check and see if my logic is correct?","['@', 'kdoto-', 'i', 'think', 'it', 'is', ',', 'since', 'i', 'think', 'i', 'came', 'up', 'with', 'one', 'possible', 'implementation', '.', ':', '-', ')', 'can', 'you', 'check', 'and', 'see', 'if', 'my', 'logic', 'is', 'correct', '?']",19.0,2.6076809620810595,"[17, 22, 15, 20, 21]",1,32
Did you try the code example you included?  Did you get the desired results?,"['did', 'you', 'try', 'the', 'code', 'example', 'you', 'included', '?', 'did', 'you', 'get', 'the', 'desired', 'results', '?']",16.0,2.5298221281347035,"[13, 17, 13, 18, 19]",1,16
"If you only want a finite number N of oracles, you could define an N-in-1 compound oracle by using the first log(N) bits of the compound oracle to indicate which suboracle you wish to query. Am I missing something?","['if', 'you', 'only', 'want', 'a', 'finite', 'number', 'n', 'of', 'oracles', ',', 'you', 'could', 'define', 'an', 'n-in-1', 'compound', 'oracle', 'by', 'using', 'the', 'first', 'log', '(', 'n', ')', 'bits', 'of', 'the', 'compound', 'oracle', 'to', 'indicate', 'which', 'suboracle', 'you', 'wish', 'to', 'query', '.', 'am', 'i', 'missing', 'something', '?']",18.2,2.638181191654584,"[21, 21, 17, 14, 18]",1,45
"Even with big arrays, loops should not take much time. What's taking time I guess is comparing objects... Could you be more specific?","['even', 'with', 'big', 'arrays', ',', 'loops', 'should', 'not', 'take', 'much', 'time', '.', 'what', ""'s"", 'taking', 'time', 'i', 'guess', 'is', 'comparing', 'objects', '...', 'could', 'you', 'be', 'more', 'specific', '?']",11.8,1.1661903789690602,"[12, 13, 10, 13, 11]",0,28
"Sorry, I will check into this next week. Have you preserved UTF-8 (see comments on top of the wikEd code)?","['sorry', ',', 'i', 'will', 'check', 'into', 'this', 'next', 'week', '.', 'have', 'you', 'preserved', 'utf-8', '(', 'see', 'comments', 'on', 'top', 'of', 'the', 'wiked', 'code', ')', '?']",14.8,1.6,"[16, 13, 15, 17, 13]",0,25
How is your DAL structured? Is there only one Assembly?,"['how', 'is', 'your', 'dal', 'structured', '?', 'is', 'there', 'only', 'one', 'assembly', '?']",15.8,1.6,"[17, 17, 17, 15, 13]",1,12
"Sorry, I completely missed the subsection title.  You think this is Merkey?","['sorry', ',', 'i', 'completely', 'missed', 'the', 'subsection', 'title', '.', 'you', 'think', 'this', 'is', 'merkey', '?']",17.6,2.65329983228432,"[15, 17, 22, 19, 15]",1,15
"BTW, I'm amazed that he has the gumption to show his mug after <url>. And do you have the balls (metaphorically or otherwise) to place a hatnote above his article linking to that term?","['btw', ',', 'i', ""'m"", 'amazed', 'that', 'he', 'has', 'the', 'gumption', 'to', 'show', 'his', 'mug', 'after', '<', 'url', '>', '.', 'and', 'do', 'you', 'have', 'the', 'balls', '(', 'metaphorically', 'or', 'otherwise', ')', 'to', 'place', 'a', 'hatnote', 'above', 'his', 'article', 'linking', 'to', 'that', 'term', '?']",8.2,1.7204650534085253,"[5, 9, 8, 10, 9]",-1,42
Are you looking for a total ordering? or just an ordering?,"['are', 'you', 'looking', 'for', 'a', 'total', 'ordering', '?', 'or', 'just', 'an', 'ordering', '?']",17.2,2.4,"[14, 16, 20, 16, 20]",1,13
Career advice questions like this one are too localized for this site. Please see [Are Career Advice questions useful for anyone except the poster](http://meta.programmers.stackexchange.com/questions/588/are-career-advice-questions-useful-to-anyone-except-the-poster/590#590)?,"['career', 'advice', 'questions', 'like', 'this', 'one', 'are', 'too', 'localized', 'for', 'this', 'site', '.', 'please', 'see', '[', 'are', 'career', 'advice', 'questions', 'useful', 'for', 'anyone', 'except', 'the', 'poster', ']', '(', 'http', ':', '//meta.programmers.stackexchange.com/questions/588/are-career-advice-questions-useful-to-anyone-except-the-poster/590', '#', '590', ')', '?']",12.0,5.656854249492381,"[14, 1, 17, 15, 13]",-1,35
